season,raceName,driverRef,first_set,stint_1,second_set,stint_2,third_set,stint_3,fourth_set,stint_4,fifth_set,stint_5,sixth_set,stint_6,total
2015,Abu Dhabi Grand Prix,Nico Rosberg,Super soft,10,Soft,21,Soft,24,,,,,,,55
2015,Abu Dhabi Grand Prix,Lewis Hamilton,Super soft,11,Soft,30,Soft,14,,,,,,,55
2015,Abu Dhabi Grand Prix,Kimi Raikkonen,Super soft,10,Soft,22,Soft,23,,,,,,,55
2015,Abu Dhabi Grand Prix,Sebastian Vettel,Soft,23,Soft,16,Super soft,16,,,,,,,55
2015,Abu Dhabi Grand Prix,Sergio Perez,Super soft,6,Soft,21,Soft,28,,,,,,,55
2015,Abu Dhabi Grand Prix,Daniel Ricciardo,Super soft,6,Soft,20,Soft,29,,,,,,,55
2015,Abu Dhabi Grand Prix,Nico Hulkenberg,Super soft,7,Soft,17,Soft,31,,,,,,,55
2015,Abu Dhabi Grand Prix,Felipe Massa,Super soft,6,Soft,20,Soft,29,,,,,,,55
2015,Abu Dhabi Grand Prix,Romain Grosjean,Soft,23,Soft,20,Super soft,12,,,,,,,55
2015,Abu Dhabi Grand Prix,Daniil Kvyat,Super soft,5,Soft,20,Soft,30,,,,,,,55
2015,Abu Dhabi Grand Prix,Carlos Sainz,Super soft,7,Soft,21,Soft,27,,,,,,,55
2015,Abu Dhabi Grand Prix,Jenson Button,Super soft,8,Soft,19,Soft,27,,,,,,,54
2015,Abu Dhabi Grand Prix,Valtteri Bottas,Super soft,8,Soft,1,Soft,20,Soft,25,,,,,54
2015,Abu Dhabi Grand Prix,Marcus Ericsson,Soft,15,Soft,26,Super soft,13,,,,,,,54
2015,Abu Dhabi Grand Prix,Felipe Nasr,Super soft,4,Soft,22,Soft,18,Super soft,10,,,,,54
2015,Abu Dhabi Grand Prix,Max Verstappen,Super soft,8,Soft,12,Soft,18,Super soft,16,,,,,54
2015,Abu Dhabi Grand Prix,Fernando Alonso,Super soft,1,Soft,7,Soft,9,Soft,30,Super soft,6,,,53
2015,Abu Dhabi Grand Prix,Will Stevens,Soft,23,Super soft,10,Soft,20,,,,,,,53
2015,Abu Dhabi Grand Prix,Roberto Merhi,Soft,24,Super soft,28,,,,,,,,,52
2015,Abu Dhabi Grand Prix,Pastor Maldonado,,,,,,,,,,,,,
2016,Abu Dhabi Grand Prix,Lewis Hamilton,Ultra soft,7,Soft,21,Soft,27,,,,,,,55
2016,Abu Dhabi Grand Prix,Nico Rosberg,Ultra soft,8,Soft,21,Soft,26,,,,,,,55
2016,Abu Dhabi Grand Prix,Sebastian Vettel,Ultra soft,8,Soft,29,Super soft,18,,,,,,,55
2016,Abu Dhabi Grand Prix,Max Verstappen,Super soft,21,Soft,34,,,,,,,,,55
2016,Abu Dhabi Grand Prix,Daniel Ricciardo,Super soft,9,Soft,15,Soft,31,,,,,,,55
2016,Abu Dhabi Grand Prix,Kimi Raikkonen,Ultra soft,7,Soft,18,Soft,30,,,,,,,55
2016,Abu Dhabi Grand Prix,Nico Hulkenberg,Ultra soft,8,Soft,18,Soft,29,,,,,,,55
2016,Abu Dhabi Grand Prix,Sergio Perez,Ultra soft,9,Soft,18,Soft,28,,,,,,,55
2016,Abu Dhabi Grand Prix,Felipe Massa,Ultra soft,8,Soft,22,Soft,25,,,,,,,55
2016,Abu Dhabi Grand Prix,Fernando Alonso,Ultra soft,7,Soft,31,Super soft,17,,,,,,,55
2016,Abu Dhabi Grand Prix,Romain Grosjean,Soft,20,Soft,18,Super soft,17,,,,,,,55
2016,Abu Dhabi Grand Prix,Esteban Gutierrez,Super soft,8,Soft,20,Soft,27,,,,,,,55
2016,Abu Dhabi Grand Prix,Esteban Ocon,Soft,22,Soft,14,Super soft,18,,,,,,,54
2016,Abu Dhabi Grand Prix,Pascal Wehrlein,Ultra soft,6,Soft,18,Soft,30,,,,,,,54
2016,Abu Dhabi Grand Prix,Marcus Ericsson,Soft,38,Super soft,16,,,,,,,,,54
2016,Abu Dhabi Grand Prix,Felipe Nasr,Super soft,7,Soft,29,Soft,18,,,,,,,54
2016,Abu Dhabi Grand Prix,Jolyon Palmer,Ultra soft,7,Soft,14,Soft,20,Super soft,13,,,,,54
2016,Abu Dhabi Grand Prix,Carlos Sainz,Super soft,6,Soft,22,Soft,,,,,,,,28
2016,Abu Dhabi Grand Prix,Daniil Kvyat,Super soft,8,Soft,,,,,,,,,,8
2016,Abu Dhabi Grand Prix,Jenson Button,Soft,,,,,,,,,,,,0
2016,Abu Dhabi Grand Prix,Valtteri Bottas,Ultra soft,,,,,,,,,,,,0
2016,Abu Dhabi Grand Prix,Kevin Magnussen,Soft,1,Soft,,,,,,,,,,1
2017,Abu Dhabi Grand Prix,Brendon Hartley,Super soft,26,Ultra soft,28,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Carlos Sainz,Ultra soft,31,Super soft,,,,,,,,,,31
2017,Abu Dhabi Grand Prix,Daniel Ricciardo,Ultra soft,19,Super soft,,,,,,,,,,19
2017,Abu Dhabi Grand Prix,Esteban Ocon,Ultra soft,31,Super soft,24,,,,,,,,,55
2017,Abu Dhabi Grand Prix,Felipe Massa,Ultra soft,22,Super soft,32,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Fernando Alonso,Ultra soft,21,Super soft,33,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Kevin Magnussen,Ultra soft,22,Super soft,32,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Kimi Raikkonen,Ultra soft,15,Super soft,40,,,,,,,,,55
2017,Abu Dhabi Grand Prix,Lance Stroll,Ultra soft,11,Super soft,18,Ultra soft,6,Ultra soft,19,,,,,54
2017,Abu Dhabi Grand Prix,Lewis Hamilton,Ultra soft,24,Super soft,31,,,,,,,,,55
2017,Abu Dhabi Grand Prix,Marcus Ericsson,Super soft,30,Ultra soft,24,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Max Verstappen,Ultra soft,14,Super soft,41,,,,,,,,,55
2017,Abu Dhabi Grand Prix,Nico Hulkenberg,Ultra soft,17,Super soft,38,,,,,,,,,55
2017,Abu Dhabi Grand Prix,Pascal Wehrlein,Super soft,28,Ultra soft,26,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Pierre Gasly,Ultra soft,30,Super soft,24,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Romain Grosjean,Ultra soft,32,Super soft,22,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Sebastian Vettel,Ultra soft,20,Super soft,35,,,,,,,,,55
2017,Abu Dhabi Grand Prix,Sergio Perez,Ultra soft,16,Super soft,39,,,,,,,,,55
2017,Abu Dhabi Grand Prix,Stoffel Vandoorne,Ultra soft,12,Super soft,42,,,,,,,,,54
2017,Abu Dhabi Grand Prix,Valtteri Bottas,Ultra soft,21,Super soft,34,,,,,,,,,55
2015,Australian Grand Prix,Lewis Hamilton,Soft,25,Medium,33,,,,,,,,,58
2015,Australian Grand Prix,Nico Rosberg,Soft,16,Medium,42,,,,,,,,,58
2015,Australian Grand Prix,Sebastian Vettel,Soft,24,Medium,34,,,,,,,,,58
2015,Australian Grand Prix,Felipe Massa,Soft,21,Medium,37,,,,,,,,,58
2015,Australian Grand Prix,Felipe Nasr,Soft,25,Medium,33,,,,,,,,,58
2015,Australian Grand Prix,Daniel Ricciardo,Soft,23,Medium,35,,,,,,,,,58
2015,Australian Grand Prix,Nico Hulkenberg,Soft,21,Medium,23,Soft,11,,,,,,,55
2015,Australian Grand Prix,Marcus Ericsson,Medium,1,Soft,25,Soft,17,,,,,,,43
2015,Australian Grand Prix,Carlos Sainz,Soft,24,Medium,34,,,,,,,,,58
2015,Australian Grand Prix,Sergio Perez,Medium,38,Medium,20,,,,,,,,,58
2015,Australian Grand Prix,Jenson Button,Soft,27,Medium,31,,,,,,,,,58
2015,Australian Grand Prix,Kimi Raikkonen,Soft,16,Soft,24,Soft,,,,,,,,40
2015,Australian Grand Prix,Max Verstappen,Medium,,,,,,,,,,,,0
2015,Australian Grand Prix,Romain Grosjean,,,,,,,,,,,,,
2015,Australian Grand Prix,Pastor Maldonado,,,,,,,,,,,,,
2015,Australian Grand Prix,Danil Kvyat,,,,,,,,,,,,,
2015,Australian Grand Prix,Kevin Magnussen,,,,,,,,,,,,,
2015,Australian Grand Prix,Valtteri Bottas,,,,,,,,,,,,,
2016,Australian Grand Prix,Nico Rosberg,Super soft,12,Soft,6,Medium,39,,,,,,,57
2016,Australian Grand Prix,Lewis Hamilton,Super soft,16,Medium,2,Medium,39,,,,,,,57
2016,Australian Grand Prix,Sebastian Vettel,Super soft,13,Super soft,5,Super soft,17,Soft,22,,,,,57
2016,Australian Grand Prix,Daniel Ricciardo,Super soft,12,Super soft,6,Soft,24,Super soft,15,,,,,57
2016,Australian Grand Prix,Felipe Massa,Super soft,11,Soft,7,Medium,39,,,,,,,57
2016,Australian Grand Prix,Romain Grosjean,Soft,18,Medium,39,,,,,,,,,57
2016,Australian Grand Prix,Nico Hulkenberg,Soft,16,Medium,2,Medium,39,,,,,,,57
2016,Australian Grand Prix,Valtteri Bottas,Soft,17,Medium,2,Medium,39,,,,,,,58
2016,Australian Grand Prix,Carlos Sainz,Super soft,8,Soft,10,Soft,13,Medium,26,,,,,57
2016,Australian Grand Prix,Max Verstappen,Super soft,13,Soft,5,Soft,14,Medium,25,,,,,57
2016,Australian Grand Prix,Jolyon Palmer,Super soft,12,Soft,6,Medium,39,,,,,,,57
2016,Australian Grand Prix,Kevin Magnussen,Super soft,1,Soft,17,Medium,39,,,,,,,57
2016,Australian Grand Prix,Sergio Perez,Soft,16,Medium,2,Medium,39,,,,,,,57
2016,Australian Grand Prix,Jenson Button,Soft,15,Soft,3,Super soft,12,Medium,26,,,,,56
2016,Australian Grand Prix,Felipe Nasr,Super soft,10,Soft,8,Medium,38,,,,,,,56
2016,Australian Grand Prix,Pascal Wehrlein,Super soft,11,Soft,7,Soft,14,Medium,24,,,,,56
2016,Australian Grand Prix,Marcus Ericsson,Super soft,11,Soft,7,Medium,20,,,,,,,38
2016,Australian Grand Prix,Kimi Raikkonen,Super soft,16,Super soft,5,,,,,,,,,21
2016,Australian Grand Prix,Rio Haryanto,Super soft,12,Soft,5,,,,,,,,,17
2016,Australian Grand Prix,Esteban Gutierrez,Soft,,,,,,,,,,,,0
2016,Australian Grand Prix,Fernando Alonso,Super soft,12,Soft,4,,,,,,,,,16
2016,Australian Grand Prix,Danil Kvyat,,,,,,,,,,,,,
2017,Australian Grand Prix,Sebastian Vettel,Ultra soft,23,Soft,34,,,,,,,,,57
2017,Australian Grand Prix,Lewis Hamilton,Ultra soft,17,Soft,40,,,,,,,,,57
2017,Australian Grand Prix,Valtteri Bottas,Ultra soft,25,Soft,32,,,,,,,,,57
2017,Australian Grand Prix,Kimi Raikkonen,Ultra soft,26,Soft,31,,,,,,,,,57
2017,Australian Grand Prix,Max Verstappen,Ultra soft,25,Super soft,32,,,,,,,,,57
2017,Australian Grand Prix,Felipe Massa,Ultra soft,20,Super soft,37,,,,,,,,,57
2017,Australian Grand Prix,Sergio Perez,Ultra soft,17,Soft,39,,,,,,,,,56
2017,Australian Grand Prix,Carlos Sainz,Ultra soft,18,Soft,38,,,,,,,,,56
2017,Australian Grand Prix,Daniil Kvyat,Ultra soft,34,Super soft,15,Ultra soft,7,,,,,,,56
2017,Australian Grand Prix,Esteban Ocon,Ultra soft,15,Soft,41,,,,,,,,,56
2017,Australian Grand Prix,Nico Hulkenberg,Ultra soft,16,Soft,14,Ultra soft,26,,,,,,,56
2017,Australian Grand Prix,Antonio Giovinazzi,Soft,15,Super soft,40,,,,,,,,,55
2017,Australian Grand Prix,Stoffel Vandoorne,Ultra soft,9,Soft,46,,,,,,,,,55
2017,Australian Grand Prix,Fernando Alonso,Ultra soft,16,Super soft,34,,,,,,,,,50
2017,Australian Grand Prix,Kevin Magnussen,Soft,1,Super soft,43,Ultra soft,2,,,,,,,46
2017,Australian Grand Prix,Lance Stroll,Super soft,5,Ultra soft,24,Ultra soft,11,,,,,,,40
